0	175
1	173
2	161
3	194
4	160
5	185
6	171
7	171
8	191
9	170
10	185
11	187
12	173
13	162
14	178
15	162
16	177
17	184
18	195
19	197
20	190
21	199
22	178
23	195
24	191
25	165
26	194
27	165
28	171
29	180
30	163
31	180
32	184
33	174
34	165
35	197
36	160
37	177
38	177
39	167
40	162
41	178
42	188
43	165
44	191
45	189
46	169
47	183
48	187
49	163
50	186
51	163
52	195
53	188
54	179
55	185
56	169
57	172
58	171
59	180
60	192
61	162
62	199
63	188
64	198
65	195
66	165
67	176
68	182
69	182
70	194
71	176
72	175
73	168
74	168
75	177
76	197
77	167
78	160
79	178
80	162
81	164
82	168
83	172
84	160
85	178
86	184
87	198
88	173
89	187
90	183
91	189
92	188
93	169
94	173
95	195
96	164
97	169
98	173
99	191
100	183
101	164
102	194
103	186
104	161
105	184
106	162
107	178
108	187
109	196
110	194
111	183
112	171
113	168
114	176
115	178
116	194
117	194
118	191
119	182
120	177
121	197
122	163
123	166
124	185
125	188
126	185
127	166
128	198
129	197
130	186
131	190
132	199
133	160
134	172
135	177
136	188
137	198
138	181
139	172
140	188
141	167
142	189
143	178
144	187
145	164
146	190
147	195
148	164
149	171
150	171
151	197
152	177
153	192
154	178
155	179
156	188
157	160
158	183
159	177
160	160
161	169
162	191
163	162
164	177
165	190
166	174
167	193
168	173
169	183
170	181
171	163
172	173
173	180
174	187
175	174
176	196
177	170
178	199
179	195
180	195
181	183
182	184
183	190
184	199
185	183
186	177
187	198
188	184
189	192
190	187
191	184
192	190
193	195
194	185
195	182
196	170
197	169
198	162
199	189
200	174
201	181
202	191
203	180
204	170
205	161
206	162
207	168
208	164
209	176
210	198
211	180
212	163
213	186
214	193
215	198
216	161
217	182
218	163
219	173
220	162
221	185
222	169
223	199
224	189
225	165
226	195
227	166
228	182
229	182
230	182
231	162
232	165
233	189
234	198
235	194
236	175
237	199
238	196
239	164
240	198
241	168
242	184
243	196
244	168
245	185
246	179
247	193
248	169
249	177
250	164
251	187
252	182
253	199
254	165
255	177
256	199
257	181
258	169
259	191
260	168
261	176
262	164
263	164
264	181
265	188
266	183
267	169
268	183
269	164
270	182
271	190
272	190
273	168
274	160
275	167
276	165
277	175
278	195
279	195
280	189
281	164
282	193
283	181
284	191
285	173
286	195
287	179
288	194
289	197
290	176
291	180
292	189
293	164
294	177
295	183
296	193
297	180
298	173
299	198
variance =	137.26328888888887
standard deviation =	11.715941656089315
